지역,선거인수,투표수,민주정의당 노태우,통일민주당 김영삼,평화민주당 김대중,신민주공화당 김종필,한주의통일한국당 신종일,계,무효,기권
서울 종로구,173149,151751,46142,40485,51748,10604,134,149113,2638,21398
서울 중구,136246,118616,35760,29805,42049,8834,117,116565,2051,17630
서울 마포구,296563,261082,77074,77081,82814,19846,206,257021,4061,35481
서울 용산구,211529,183686,56863,52208,57897,13609,158,180735,2951,27843
서울 성동구,488239,430964,126415,115084,147525,34488,342,423854,7110,57275
서울 동대문구,604013,534838,162115,150896,168948,42933,534,525426,9412,69175
서울 성북구,379023,332840,98305,86419,116901,25903,288,327816,5024,46183
서울 도봉구,584255,514683,150885,143064,169701,41976,430,506056,8627,69572
서울 서대문구,269526,236757,67447,64618,84244,16723,177,233209,3548,32769
서울 은평구,291220,256520,75630,76566,81478,18609,196,252479,4041,34700
서울 강서구,498912,442356,129044,132770,135335,38515,332,435996,6360,56556
서울 구로구,448630,399094,108859,100476,130017,41002,319,380673,18421,49536
서울 영등포구,298222,262990,79942,73333,81165,24251,185,258876,4114,35232
서울 동작구,266646,235969,65966,66912,79535,19767,215,232395,3574,30677
서울 관악구,364222,324570,84782,83275,122063,29214,250,319584,4986,39652
서울 강남구,537067,468287,150220,163656,116759,32511,287,463433,4854,68780
서울 강동구,639248,562802,167375,180699,164831,42203,390,555498,7304,76446
부산 중구,58957,51788,16155,28894,4742,1221,79,51091,697,7169
부산 서구,136220,119222,35843,69760,8987,2372,210,117172,2050,16998
부산 동구,127161,112478,35856,63667,8443,2587,233,110786,1692,14683
부산 영도구,133786,113381,36951,58855,13517,2181,169,111673,1708,20405
부산 부산진구,327888,292507,94569,157687,27913,7388,626,288183,4324,35381
부산 동래구,542478,483521,151360,271916,39420,13746,819,477261,6260,58957
부산 남구,344310,305969,98268,169536,25500,7843,434,301581,4388,38341
부산 북구,289057,256530,80047,138075,27242,6771,584,252719,3811,32527
부산 해운대구,144681,127326,43787,66506,11710,3356,221,125580,1746,17355
부산 사하구,185500,161602,47786,92115,14935,4198,237,159271,2331,23898
대구 서구,350291,316781,226444,70991,7667,6299,1265,312666,4115,33510
대구 중구,104996,94186,65203,23013,2585,1864,272,92937,1249,10810
대구 북구,196065,175962,126672,38546,4613,3263,457,173551,2411,20103
대구 동구,202921,183114,129607,42187,4749,3560,593,180696,2418,19807
대구 수성구,194153,173660,115085,47470,4637,3874,535,171601,2059,20493
대구 남구,226867,202949,137352,52673,5580,4370,652,200627,2322,23918
인천 남구,418955,371206,148053,113914,70089,33310,515,365881,5325,47749
인천 중구,52232,46179,18882,14837,8224,3474,62,45479,700,6053
인천 북구,393911,343400,123747,97838,82920,33004,423,337932,5468,50511
인천 동구,90173,81198,35504,22015,15378,6545,126,79568,1630,8975
광주 동구,115935,107446,5779,509,99545,261,21,106115,1331,8489
광주 북구,177371,164170,8102,985,152545,439,31,162102,2068,13201
광주 서구,227182,209510,9062,977,197464,411,22,207936,1574,17672
경기 수원시,308737,273298,100853,82160,55941,29947,372,269273,4025,35439
경기 화성군,149468,132251,60390,36261,21812,10449,359,129271,2980,17217
경기 성남시,302995,267482,88476,60433,91230,21957,355,262451,5031,35513
경기 광주군,99649,86034,34379,25281,18166,6120,215,84161,1873,13615
경기 의정부시,108702,95362,39861,24808,20889,7909,129,93596,1766,13340
경기 동두천시,43776,38981,19531,8762,7923,1980,72,38268,713,4795
경기 양주군,49710,44108,21232,11046,7448,3170,134,43030,1078,5602
경기 안양시,254749,225363,72775,66784,58297,24080,207,222143,3220,29386
경기 광명시,167006,147035,43684,40586,45087,14909,150,144416,2619,19971
경기 과천시,44553,39563,12149,15056,9566,2364,25,39160,403,4990
경기 안산시,88718,77659,27532,20000,21158,7590,76,76356,1303,11059
경기 시흥시,145338,127046,43969,37105,31270,12185,186,124715,2331,18292
경기 옹진군,22444,20466,14574,3248,1662,399,43,19926,540,1978
경기 부천시,338664,294470,92488,83012,84901,28917,318,289636,4834,44194
경기 김포군,78126,69517,34380,18436,11125,3900,182,68023,1494,8609
경기 강화군,55084,50091,29438,11665,6032,1651,170,48956,1135,4993
경기 구리시,59055,51543,19451,14012,12596,4354,73,50486,1057,7512
경기 남양주군,107218,93415,40895,25729,17660,7042,226,91552,1863,13803
경기 양평군,57264,51119,29661,12001,5487,2352,238,49739,1380,6145
경기 여주군,62236,54863,29866,14650,5832,2771,212,53331,1532,7373
경기 이천군,81939,73782,36691,21381,9288,4655,241,72256,1526,8157
경기 용인군,97084,85543,37331,23977,14261,7704,218,83491,2052,11541
경기 평택시,47156,42364,17214,12345,7402,4602,69,41632,732,4792
경기 송탄시,44484,39963,18328,10539,6818,3519,67,39271,692,4521
경기 평택군,73636,65087,31777,17237,9314,5059,186,63573,1514,8549
경기 안성군,79859,71450,35162,20070,9110,5163,252,69757,1693,8409
경기 파주군,106736,95301,49926,24539,13959,4709,260,93393,1908,11435
경기 고양군,129177,112703,44113,31450,26546,8269,197,110575,2128,16474
경기 포천군,72972,66640,38428,12664,8591,5279,169,65131,1509,6332
경기 연천군,39020,35165,19965,7571,4693,2124,114,34467,698,3855
경기 가평군,36999,34350,19716,7466,3870,2130,106,33288,1062,2649
강원 춘천시,101105,92008,47211,27335,9762,5897,179,90384,1624,9097
강원 원주시,91118,83022,41547,25141,9931,4741,177,81537,1485,8096
강원 강릉시,79532,70748,36935,22050,6110,4448,140,69683,1065,8784
강원 동해시,57103,49507,29429,13112,3429,2577,111,48658,849,7596
강원 태백시,68306,60642,32377,19031,3899,4283,130,59720,922,7664
강원 명주군,50754,44826,28650,9949,2877,1904,125,43505,1321,5928
강원 양양군,22754,21557,13377,4733,1582,1195,73,20960,597,1197
강원 삼척시,24138,21386,13339,5007,1354,1171,44,20915,471,2752
강원 삼척군,45763,40618,25842,9099,2219,2114,151,39425,1193,5145
강원 홍천군,56621,51737,29104,13368,4717,2299,262,49750,1987,4884
강원 춘성군,32994,30696,18220,7416,2458,1509,129,29732,964,2298
강원 양구군,18639,17300,11281,3551,1357,655,50,16894,406,1339
강원 인제군,25631,24040,15179,4562,2586,937,72,23336,704,1591
강원 원성군,35806,33369,19736,7684,3149,1573,125,32267,1102,2437
강원 횡성군,37586,34964,20246,8430,3669,1446,144,33935,1029,2622
강원 영월군,48418,44299,27282,10857,2394,2356,167,43056,1243,4119
강원 평창군,40081,36768,22498,8289,3031,1649,144,35611,1157,3313
강원 정선군,73968,67178,42405,14408,5541,3137,163,65654,1524,6790
강원 속초시,42945,37914,20466,10276,3583,2849,58,37232,682,5031
강원 고성군,28768,26497,17020,5558,2184,1045,56,25863,634,2271
강원 화천군,21069,19485,12957,3243,1964,846,48,19058,427,1584
강원 철원군,37533,34818,21468,7486,3682,1323,80,34039,779,2715
충북 청주시,216148,195945,74342,59453,24302,33993,372,192462,3483,20203
충북 청원군,91422,82568,36327,20469,9490,13509,349,80144,2424,8854
충북 충주시,70614,63415,26215,19653,5490,10548,166,62072,1343,7199
충북 제천시,57517,52501,25195,17917,4348,3883,145,51488,1013,5016
충북 중원군,53462,48808,24362,12685,3703,6227,214,47191,1617,4654
충북 제원군,29352,27598,15043,7957,1872,1642,157,26671,927,1754
충북 단양군,36633,34142,19167,10209,1770,1849,167,33162,980,2491
충북 영동군,49385,44874,24075,10776,5020,3437,221,43529,1345,4511
충북 보은군,44175,40034,19266,7889,5608,5759,161,38683,1351,4141
충북 옥천군,49947,46368,23767,7626,6856,6361,174,44784,1584,3579
충북 괴산군,63930,57886,28488,14675,5678,6950,300,56091,1795,6044
충북 진천군,36927,34015,15759,9718,3671,3727,158,33033,982,2912
충북 음성군,54720,49585,23216,14824,5324,4571,212,48147,1438,5135
대전 동구,205843,184241,49068,39735,30333,61929,238,181303,2938,21602
대전 중구,297747,266567,64002,59676,42797,95540,350,262365,4202,31180
충북 천안시,87618,78081,20733,16166,9637,29855,145,76536,1545,9537
충북 온양시,34517,30521,7353,5526,3231,13712,50,29872,649,3996
충북 아산군,64704,56902,15741,9646,5238,24158,199,54982,1920,7802
충북 천원군,66978,59560,20405,10897,5990,20253,203,57748,1812,7418
충북 대덕군,49803,43895,12277,7731,5790,16695,126,42619,1276,5908
충북 금산군,57706,51111,20746,9841,6775,11589,268,49219,1892,6595
충북 연기군,59485,53048,14975,9239,4479,22467,153,51313,1735,6437
충북 논산군,116125,100927,28444,11251,16379,41424,264,97762,3165,15198
충북 공주시,31385,28297,6052,3128,2418,16040,44,27682,615,3088
충북 공주군,64675,57391,14086,5289,3552,31916,166,55009,2382,7284
충북 부여군,84044,73365,11117,3482,3729,52659,152,71139,2226,10679
충북 대천시,30317,26727,5397,2749,2746,15192,53,26137,590,3590
충북 서천군,65152,56886,15763,5703,6492,26799,185,54942,1944,8266
충북 보령군,56181,49126,10416,4508,3984,28075,143,47126,2000,7055
충북 홍성군,72588,64583,15387,8316,5764,32576,227,62270,2313,8005
충북 청양군,38698,34531,7916,2609,2199,20316,91,33131,1400,4167
충북 예산군,81888,71970,17457,8773,6188,37042,224,69684,2286,9918
충북 서산군,138312,119090,28831,14640,14940,55770,437,114618,4472,19222
충북 당진군,84248,71738,16325,7622,8111,37207,184,69449,2289,12510
전북 전주시,269959,245593,25971,3153,209642,1799,133,240698,4895,24366
전북 완주군,71374,64268,8732,847,51767,370,83,61799,2469,7106
전북 군산시,101380,91562,12215,1932,74082,1473,54,89756,1806,9818
전북 옥구군,59465,53615,7893,683,42974,392,62,52004,1611,5850
전북 이리시,107481,98189,10904,1745,82173,1220,54,96096,2093,9292
전북 익산군,79837,71606,11597,1237,55644,876,71,69425,2181,8231
전북 진안군,36977,33736,7825,554,23770,158,72,32379,1357,3241
전북 무주군,26894,24972,8091,978,14372,263,210,23914,1058,1922
전북 장수군,27341,24709,4520,362,18578,100,85,23645,1064,2632
전북 남원시,30646,27995,4065,346,22740,108,13,27272,723,2651
전북 임실군,41282,37602,6002,436,29140,161,61,35800,1802,3680
전북 남원군,48758,43659,6984,579,33889,154,94,41700,1959,5099
전북 순창군,35295,32298,5010,342,25145,115,64,30676,1622,2997
전북 정주시,42449,38269,4406,414,32237,175,37,37269,1000,4180
전북 정읍군,71731,63438,8265,877,51415,268,123,60948,2490,8293
전북 고창군,72155,64611,5837,700,55130,235,85,61987,2624,7544
전북 김제군,105842,95137,14149,1237,76206,478,121,92191,2946,10705
전북 부안군,69656,61608,8294,708,50051,284,79,59416,2192,8048
전남 목포시,127237,116103,6337,692,106587,283,43,113942,2161,11134
전남 무안군,58736,54029,3254,293,49315,89,25,52976,1053,4707
전남 신안군,62383,54998,3509,383,49531,128,32,53583,1415,7385
전남 여수시,99150,88645,6315,1375,78538,399,33,86660,1985,10505
전남 여천시,31120,28076,2409,1183,23557,303,21,27473,603,3044
전남 광양군,63078,56816,7349,3190,44225,655,38,55457,1359,6262
전남 여천군,54734,48695,3689,559,42641,146,47,47082,1613,6039
전남 순천시,73584,67492,5202,1101,59580,401,24,66308,1184,6092
전남 구례군,29933,26867,2919,256,22696,95,33,25999,868,3066
전남 승주군,61545,54511,4569,569,47359,177,58,52732,1779,7034
전남 나주시,26486,24326,1863,165,21739,67,13,23847,479,2160
전남 송정시,29729,27537,2088,240,24603,114,7,27052,485,2192
전남 광산군,50873,46362,2980,371,41679,182,18,45230,1132,4511
전남 나주군,70860,64380,4207,402,57933,129,46,62717,1663,6480
전남 담양군,50996,47232,3842,360,41402,117,47,45768,1464,3764
전남 곡성군,37174,34343,3424,335,29221,81,39,33100,1243,2831
전남 화순군,57177,52465,3417,312,47219,95,35,51078,1387,4712
전남 보성군,67138,59016,5932,440,50574,150,66,57162,1854,8122
전남 고흥군,100985,89969,8432,740,78191,141,52,87556,2413,11016
전남 장흥군,52475,47134,3803,413,41430,124,39,45809,1325,5341
전남 강진군,46689,41799,3855,284,36540,90,11,40780,1019,4890
전남 영암군,52454,48253,3791,450,42467,131,25,46864,1389,4201
전남 완도군,63136,57972,4540,412,51626,122,30,56730,1242,5164
전남 해남군,88102,79261,6250,611,70148,141,62,77212,2049,8841
전남 진도군,41506,36643,3780,342,31200,85,37,35444,1199,4863
전남 영광군,64674,57416,5227,647,49149,168,52,55243,2173,7258
전남 함평군,49121,43849,3138,300,39213,79,19,42749,1100,5272
전남 장성군,48692,44566,3108,401,39627,139,42,43317,1249,4126
경북 포항시,165219,150112,79932,53568,9192,5262,280,148234,1878,15107
경북 경주시,78029,71037,38925,26376,1963,2170,246,69680,1357,6992
경북 김천시,45915,41964,25167,13849,991,1177,116,41300,664,3951
경북 금릉군,56657,52425,35818,13026,719,1191,234,50988,1437,4232
경북 안동시,64292,57519,32870,20618,1424,1337,189,56438,1081,6773
경북 구미시,85894,78800,50633,18329,3782,4664,147,77555,1245,7094
경북 영주시,48484,44117,25800,15775,896,799,100,43370,747,4367
경북 영풍군,46425,41248,26204,12530,504,666,186,40090,1158,5177
경북 영천시,29175,26470,17268,7278,689,541,213,25989,481,2705
경북 영천군,58689,53189,36238,13575,705,825,599,51942,1247,5500
경북 상주시,32999,29708,20450,7169,748,662,78,29107,601,3291
경북 상주군,73809,68291,48618,14619,1041,1487,316,66081,2210,5518
경북 점촌시,29341,26620,16740,7102,600,1513,69,26024,596,2721
경북 문경군,49600,44904,30274,9835,832,2242,193,43376,1528,4696
경북 달성군,56038,51949,38225,10061,1052,939,319,50596,1353,4089
경북 고령군,28656,26546,19100,5755,391,415,144,25805,741,2110
경북 군위군,29697,27496,20545,5630,213,323,124,26835,661,2201
경북 선산군,44008,40872,30551,7222,527,1581,105,39986,886,3136
경북 의성군,78986,73313,48508,20193,962,1467,359,71489,1824,5673
경북 안동군,69369,62924,39644,18513,876,1310,440,60783,2141,6445
경북 청송군,33722,31479,21360,8273,605,325,146,30709,770,2243
경북 영덕군,47568,43328,29063,12064,431,481,154,42193,1135,4240
경북 영양군,25442,23384,14864,6931,474,328,116,22713,671,2058
경북 봉화군,46126,43026,30118,10023,618,747,196,41702,1324,3100
경북 영일군,106346,94743,59289,28318,2332,2187,362,92488,2255,11603
경북 울릉군,10015,9012,6050,2414,209,147,12,8832,180,1003
경북 월성군,94078,84710,50317,28262,1224,2181,571,82555,2155,9368
경북 경산군,85039,76041,52596,18380,1517,1534,550,74577,1464,8998
경북 청도군,48323,44026,28491,12386,472,1107,359,42815,1211,4297
경북 성주군,42830,39108,27406,8966,442,789,259,37862,1246,3722
경북 칠곡군,51864,47984,36388,8335,1087,861,274,46945,1039,3880
경북 예천군,60977,55233,38147,13398,823,881,215,53464,1769,5744
경북 울진군,54413,47666,32436,11416,1415,1088,141,46496,1170,6747
울산 남구,129106,116401,51290,50185,8053,5128,292,114948,1453,12705
울산 중구,222805,198939,84547,81647,20380,9130,395,196099,2840,23866
울산 울주군,81349,72932,32961,33315,2226,2437,359,71298,1634,8417
경남 마산시,255968,229805,68434,141325,10674,5722,424,226579,3226,26163
경남 진주시,129073,116759,45156,63113,3830,2521,294,114914,1845,12314
경남 삼천포시,38581,34081,14133,17678,870,628,110,33419,662,4500
경남 진양군,55213,50453,23207,23973,715,1085,249,49229,1224,4760
경남 사천군,40301,36059,16210,17058,866,709,209,35052,1007,4242
경남 창원시,124578,112949,36217,61410,10141,3758,164,111690,1259,11629
경남 진해시,76089,69536,27302,35742,3557,1864,172,68637,899,6553
경남 의창군,53320,47422,15470,28896,795,846,235,46242,1180,5898
경남 충무시,52531,46007,15155,28409,1134,552,116,45366,641,6524
경남 통영군,35409,30870,11418,17738,238,317,283,29994,876,4539
경남 거제군,92909,82331,14437,59659,5524,1006,391,81017,1314,10578
경남 고성군,54365,47879,17193,27424,667,1020,351,46655,1224,6486
경남 의령군,34643,31275,15942,13231,399,578,199,30349,926,3368
경남 함안군,49472,44657,18742,22190,782,1605,239,43558,1099,4815
경남 합천군,62315,54963,36723,14593,754,894,276,53240,1723,7352
경남 밀양군,93475,83227,38575,39058,1403,2039,409,81484,1743,10248
경남 창녕군,64374,57278,28815,24512,703,1250,449,55729,1549,7096
경남 김해시,49557,43871,16475,22985,2532,1084,95,43171,700,5686
경남 양산군,90880,80671,35578,36903,3964,2214,244,78903,1768,10209
경남 김해군,64261,56584,21649,31323,1307,1029,206,55514,1070,7677
경남 하동군,51534,46035,19386,23047,1413,627,334,44807,1228,5499
경남 남해군,55040,48799,26888,18637,1151,572,198,47446,1353,6241
경남 거창군,55162,49802,22269,23994,1216,656,335,48470,1332,5360
경남 산청군,39174,35727,18892,14364,539,636,238,34669,1058,3447
경남 함양군,41722,38064,19693,14633,971,1335,301,36933,1131,3658
제주 제주시,117400,103909,45396,29864,20896,5649,202,102007,1902,13491
제주 북제주군,64104,55913,31017,13559,7253,2039,198,54066,1847,8191
제주 서귀포시,48001,42915,18578,10677,10320,2102,119,41796,1119,5086
제주 남제주군,51367,45861,25511,10744,6670,1140,164,44229,1632,5506
