지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
서울 성동구을,107044,86499,30052.0,42528.0,11407.0,843.0,91.0,150.0,98.0,85169,1330,20545
서울 광진구을,145157,116885,43469.0,55222.0,15065.0,1225.0,109.0,127.0,80.0,115297,1588,28272
서울 동대문구을,137683,111506,42124.0,50565.0,15772.0,1015.0,136.0,155.0,108.0,109875,1631,26177
서울 중랑구을,197142,158667,60659.0,68324.0,25728.0,1441.0,163.0,226.0,129.0,156670,1997,38475
서울 성북구을,172098,137885,47526.0,67773.0,18842.0,1371.0,156.0,229.0,137.0,136034,1851,34213
서울 강북구을,131068,104728,34219.0,53511.0,14058.0,1019.0,105.0,161.0,108.0,103181,1547,26340
서울 도봉구을,141086,114176,46724.0,49559.0,15154.0,1215.0,90.0,147.0,88.0,112977,1199,26910
서울 노원구을,198861,163589,68669.0,69562.0,21276.0,1932.0,139.0,230.0,127.0,161935,1654,35272
서울 은평구을,189020,150734,61446.0,66832.0,18297.0,1821.0,123.0,233.0,133.0,148885,1849,38286
서울 서대문구을,138632,111688,41714.0,53927.0,13088.0,1163.0,90.0,152.0,101.0,110235,1453,26944
서울 마포구을,162457,129766,51900.0,58291.0,15880.0,1687.0,128.0,212.0,108.0,128206,1560,32691
서울 종로구,145809,116117,48664.0,52381.0,11837.0,1304.0,110.0,177.0,122.0,114595,1522,29692
서울 중구,96000,76174,29633.0,36072.0,8452.0,640.0,95.0,109.0,92.0,75093,1081,19826
서울 용산구,180295,141083,61050.0,60486.0,15764.0,1397.0,125.0,202.0,162.0,139186,1897,39212
서울 성동구갑,129170,104141,39386.0,48414.0,13591.0,1033.0,120.0,134.0,103.0,102781,1360,25029
서울 광진구갑,136618,111068,45777.0,47699.0,14562.0,1164.0,110.0,155.0,91.0,109558,1510,25550
서울 동대문구갑,148268,117443,46113.0,52483.0,15220.0,1509.0,123.0,163.0,128.0,115739,1704,30825
서울 중랑구갑,133832,106695,38240.0,49051.0,16507.0,1009.0,101.0,185.0,125.0,105218,1477,27137
서울 성북구갑,178624,141323,57316.0,63323.0,16707.0,1724.0,125.0,186.0,160.0,139541,1782,37301
서울 강북구갑,138475,110197,42968.0,49715.0,14440.0,1267.0,112.0,171.0,129.0,108802,1395,28278
서울 도봉구갑,125363,101849,41458.0,44382.0,13475.0,1154.0,87.0,113.0,73.0,100742,1107,23514
서울 노원구갑,196228,159837,65998.0,67875.0,21755.0,1689.0,154.0,284.0,195.0,157950,1887,36391
서울 은평구갑,161493,129391,48533.0,61449.0,15938.0,1384.0,115.0,206.0,100.0,127725,1666,32102
서울 서대문구갑,124087,98276,40592.0,44268.0,10515.0,1336.0,91.0,165.0,105.0,97072,1204,25811
서울 마포구갑,126554,100919,41390.0,44249.0,12279.0,1308.0,107.0,136.0,110.0,99579,1340,25635
서울 양천구갑,168372,139187,65067.0,55064.0,16004.0,1533.0,105.0,207.0,91.0,138071,1116,29185
서울 양천구을,160035,128554,43493.0,62516.0,19176.0,1227.0,107.0,183.0,119.0,126821,1733,31481
서울 강서구갑,143839,115954,45323.0,52389.0,15263.0,1287.0,81.0,150.0,106.0,114599,1355,27885
서울 강서구을,211052,171203,70392.0,70847.0,25643.0,1725.0,201.0,271.0,164.0,169243,1960,39849
서울 구로구갑,141299,115077,45171.0,48655.0,18035.0,1340.0,130.0,200.0,127.0,113658,1419,26222
서울 구로구을,124956,100240,32992.0,50461.0,13765.0,1218.0,98.0,223.0,95.0,98852,1388,24716
서울 금천구,188576,150622,50130.0,73279.0,22833.0,1701.0,147.0,250.0,153.0,148493,2129,37954
서울 영등포구갑,128054,103817,42815.0,44291.0,13842.0,1205.0,96.0,159.0,96.0,102504,1313,24237
서울 영등포구을,163582,131088,51527.0,59354.0,16648.0,1439.0,115.0,181.0,113.0,129377,1711,32494
서울 동작구갑,162232,131204,52281.0,59326.0,15945.0,1670.0,107.0,252.0,104.0,129685,1519,31028
서울 동작구을,154359,124991,47959.0,59366.0,14091.0,1755.0,112.0,217.0,102.0,123602,1389,29368
서울 관악구갑,183367,149415,49131.0,78196.0,17613.0,2244.0,122.0,241.0,107.0,147654,1761,33952
서울 관악구을,207041,167868,57597.0,82855.0,21902.0,2763.0,163.0,258.0,123.0,165661,2207,39173
서울 서초구갑,140568,112653,60717.0,40841.0,8735.0,1211.0,80.0,105.0,51.0,111740,913,27915
서울 서초구을,150800,121648,59351.0,47728.0,11662.0,1283.0,105.0,207.0,74.0,120410,1238,29152
서울 강남구갑,205465,160040,87111.0,56267.0,13018.0,1723.0,106.0,200.0,97.0,158522,1518,45425
서울 강남구을,185253,151401,78207.0,55042.0,14657.0,1533.0,111.0,226.0,91.0,149867,1534,33852
서울 송파구갑,150890,123707,58466.0,49450.0,12928.0,1394.0,89.0,183.0,87.0,122597,1110,27183
서울 송파구을,150331,122034,54105.0,51505.0,13601.0,1110.0,87.0,182.0,73.0,120663,1371,28297
서울 송파구병,162802,133072,53974.0,58506.0,17517.0,1217.0,112.0,225.0,108.0,131659,1413,29730
서울 강동구갑,174893,143809,62709.0,57584.0,20147.0,1276.0,126.0,224.0,123.0,142189,1620,31084
서울 강동구을,159717,128523,50171.0,55845.0,19222.0,1152.0,127.0,226.0,118.0,126861,1662,31194
부산 부산진구을,152166,120675,63285.0,17426.0,36149.0,1541.0,142.0,111.0,189.0,118843,1832,31491
부산 동래구을,93838,75024,44113.0,9586.0,19244.0,919.0,76.0,72.0,79.0,74089,935,18814
부산 남구을,104705,83268,42702.0,12912.0,25232.0,1014.0,73.0,93.0,126.0,82152,1116,21437
부산 사하구을,149986,116012,53097.0,19459.0,40098.0,1228.0,123.0,112.0,183.0,114300,1712,33974
부산 중구,46553,35968,21138.0,5699.0,8133.0,341.0,48.0,37.0,55.0,35451,517,10585
부산 서구,123982,95096,52152.0,13796.0,26080.0,1060.0,105.0,107.0,209.0,93509,1587,28886
부산 동구,104319,81569,45211.0,11443.0,22364.0,930.0,100.0,74.0,168.0,80290,1279,22750
부산 영도구,143013,109136,55828.0,20585.0,29072.0,1464.0,139.0,130.0,181.0,107399,1737,33877
부산 부산진구갑,160389,127232,68656.0,20561.0,34315.0,1464.0,117.0,156.0,205.0,125474,1758,33157
부산 동래구갑,117215,94379,53462.0,12787.0,25487.0,1155.0,81.0,95.0,137.0,93204,1175,22836
부산 남구갑,115788,91992,51046.0,13087.0,25185.0,1099.0,94.0,110.0,123.0,90744,1248,23796
부산 북구,195741,154874,71423.0,23525.0,55332.0,1833.0,163.0,157.0,192.0,152625,2249,40867
부산 해운대구,256336,202729,105882.0,30760.0,60363.0,2431.0,212.0,205.0,282.0,200135,2594,53607
부산 기장군,52581,41705,20202.0,5484.0,14276.0,771.0,65.0,41.0,132.0,40971,734,10876
부산 사하구갑,116981,93134,52054.0,12183.0,26428.0,1136.0,76.0,82.0,115.0,92074,1060,23847
부산 금정구갑,103810,82674,42043.0,12595.0,25437.0,1086.0,109.0,72.0,178.0,81520,1154,21136
부산 금정구을,105473,84726,49792.0,10554.0,21787.0,1358.0,78.0,62.0,115.0,83746,980,20747
부산 강서구,49458,37372,16397.0,4353.0,15427.0,283.0,72.0,43.0,127.0,36702,670,12086
부산 연제구,164910,131425,72667.0,19903.0,35058.0,1656.0,127.0,143.0,195.0,129749,1676,33485
부산 수영구,138693,110403,65581.0,15635.0,26253.0,1200.0,90.0,144.0,133.0,109036,1367,28290
부산 사상구갑,91620,71604,31335.0,14025.0,24124.0,732.0,79.0,77.0,114.0,70486,1118,20016
부산 사상구을,104754,83013,39003.0,13820.0,27912.0,880.0,83.0,88.0,121.0,81907,1106,21741
대구 동구을,123038,94953,65420.0,12655.0,13845.0,1097.0,138.0,89.0,323.0,93567,1386,28085
대구 서구을,104077,80012,54919.0,9617.0,12651.0,998.0,120.0,77.0,298.0,78680,1332,24065
대구 북구을,140088,112827,79369.0,14263.0,15938.0,1296.0,142.0,131.0,283.0,111422,1405,27261
대구 중구,77965,61331,46225.0,7257.0,6087.0,642.0,60.0,57.0,204.0,60532,799,16634
대구 동구갑,119944,93609,66780.0,11877.0,11903.0,1272.0,124.0,95.0,304.0,92355,1254,26335
대구 서구갑,118365,92701,66466.0,10868.0,12638.0,1002.0,107.0,91.0,302.0,91474,1227,25664
대구 남구,154165,119711,88485.0,14546.0,13104.0,1412.0,136.0,100.0,311.0,118094,1617,34454
대구 북구갑,126170,99157,71008.0,11975.0,13151.0,1147.0,132.0,87.0,293.0,97793,1364,27013
대구 수성구갑,165076,133183,98740.0,16341.0,14485.0,1713.0,132.0,102.0,300.0,131813,1370,31893
대구 수성구을,153556,123282,92950.0,14597.0,12540.0,1301.0,123.0,96.0,258.0,121865,1417,30274
대구 달서구갑,148418,116816,82942.0,13962.0,16467.0,1335.0,132.0,82.0,347.0,115267,1549,31602
대구 달서구을,182824,145859,104787.0,18027.0,18898.0,1679.0,194.0,125.0,400.0,144110,1749,36965
대구 달성군,93652,73577,47516.0,10591.0,11942.0,1364.0,121.0,97.0,485.0,72116,1461,20075
인천 남구을,143427,114265,46376.0,39563.0,24565.0,1650.0,179.0,194.0,130.0,112657,1608,29162
인천 남동구을,129650,103485,35800.0,40714.0,23574.0,1464.0,153.0,185.0,116.0,102006,1479,26165
인천 부평구을,149955,121344,43394.0,49372.0,24227.0,2210.0,170.0,194.0,143.0,119710,1634,28611
인천 중구,53812,41515,17334.0,13606.0,9191.0,496.0,73.0,69.0,99.0,40868,647,12297
인천 동구,67366,53747,19746.0,18516.0,13119.0,1129.0,101.0,113.0,106.0,52830,917,13619
인천 남구갑,154189,121949,45526.0,44705.0,27560.0,1857.0,178.0,238.0,149.0,120213,1736,32240
인천 연수구,161507,131688,54248.0,45315.0,27903.0,2191.0,149.0,221.0,163.0,130190,1498,29819
인천 남동구갑,132103,105062,37639.0,40375.0,23544.0,1508.0,160.0,195.0,123.0,103544,1518,27041
인천 부평구갑,187250,148047,49585.0,62496.0,30809.0,2257.0,190.0,247.0,154.0,145738,2309,39203
인천 계양구,195023,158544,51717.0,66388.0,35363.0,2407.0,176.0,233.0,173.0,156457,2087,36479
인천 서구,202758,161910,50321.0,64547.0,41124.0,2826.0,236.0,305.0,202.0,159561,2349,40848
인천 강화군,52315,41613,15252.0,10518.0,14182.0,297.0,121.0,128.0,232.0,40730,883,10702
인천 옹진군,10300,8343,3622.0,1724.0,2578.0,48.0,29.0,34.0,72.0,8107,236,1957
광주 동구,99187,87879,1776.0,84226.0,512.0,160.0,22.0,87.0,42.0,86825,1054,11308
광주 서구,156805,141300,2297.0,136603.0,814.0,254.0,24.0,104.0,28.0,140124,1176,15505
광주 남구,164829,147582,2501.0,142353.0,795.0,259.0,30.0,135.0,58.0,146131,1451,17247
광주 북구갑,140653,126293,1989.0,121960.0,662.0,252.0,21.0,80.0,32.0,124996,1297,14360
광주 북구을,162549,146714,2369.0,141592.0,946.0,292.0,22.0,91.0,45.0,145357,1357,15835
광주 광산구,146531,133257,2362.0,127425.0,1452.0,261.0,35.0,163.0,68.0,131766,1491,13274
대전 동구을,80726,61944,15819.0,28235.0,15915.0,669.0,117.0,121.0,85.0,60961,983,18782
대전 서구을,153488,124816,43295.0,53235.0,25191.0,1394.0,136.0,181.0,94.0,123526,1290,28672
대전 동구갑,102348,78586,20259.0,35379.0,20151.0,797.0,158.0,197.0,159.0,77100,1486,23762
대전 중구,180565,140027,40011.0,63096.0,32804.0,1460.0,196.0,267.0,186.0,138020,2007,40538
대전 서구갑,134004,105171,28178.0,47865.0,26152.0,1070.0,140.0,199.0,139.0,103743,1428,28833
대전 유성구,93072,74853,24295.0,31722.0,15937.0,1443.0,120.0,154.0,112.0,73783,1070,18219
대전 대덕구,137271,107424,27409.0,47961.0,28224.0,1611.0,161.0,233.0,161.0,105760,1664,29847
울산 남구을,91574,74655,41404.0,10610.0,18643.0,2897.0,84.0,51.0,113.0,73802,853,16919
울산 중구,155651,124401,67509.0,16597.0,31830.0,6402.0,143.0,100.0,192.0,122773,1628,31250
울산 남구갑,113311,91663,53780.0,12216.0,21475.0,3041.0,82.0,54.0,119.0,90767,896,21648
울산 동구,125435,103911,42533.0,23075.0,26950.0,9924.0,101.0,89.0,126.0,102798,1113,21524
울산 북구,66047,54885,23553.0,7993.0,14799.0,7590.0,78.0,48.0,133.0,54194,691,11162
울산 울주군,102107,80944,40219.0,10260.0,26127.0,2291.0,139.0,85.0,308.0,79429,1515,21163
경기 수원시권선구,192659,154397,53339.0,58090.0,38588.0,1691.0,222.0,239.0,155.0,152324,2073,38262
경기 수원시장안구,175812,140932,51151.0,52560.0,33114.0,1702.0,212.0,252.0,132.0,139123,1809,34880
경기 성남시중원구,190920,151994,40779.0,73650.0,33343.0,1299.0,182.0,254.0,154.0,149661,2333,38926
경기 성남시분당구,255849,215478,109195.0,75438.0,26549.0,2016.0,171.0,388.0,124.0,213881,1597,40371
경기 안양시만안구,177145,141695,49009.0,59608.0,29081.0,1621.0,167.0,202.0,136.0,139824,1871,35450
경기 안양시동안구을,103345,86534,37769.0,32969.0,13866.0,833.0,74.0,140.0,53.0,85704,830,16811
경기 부천시원미구을,142615,119149,43886.0,50207.0,21841.0,1407.0,104.0,178.0,94.0,117717,1432,23466
경기 부천시오정구,122807,98551,29533.0,44742.0,21338.0,882.0,102.0,182.0,101.0,96880,1671,24256
경기 부천시소사구,141214,114185,39644.0,49484.0,21754.0,1312.0,124.0,190.0,115.0,112623,1562,27029
경기 고양시일산구,249248,205429,91210.0,78408.0,31083.0,2159.0,188.0,239.0,164.0,203451,1978,43819
경기 수원시팔달구,156084,125457,47962.0,44680.0,29535.0,1145.0,191.0,173.0,143.0,123829,1628,30627
경기 성남시수정구,182334,145865,39818.0,70909.0,30914.0,1362.0,188.0,265.0,151.0,143607,2258,36469
경기 의정부시,207741,166236,63136.0,63019.0,35619.0,1518.0,257.0,218.0,224.0,163991,2245,41505
경기 안양시동안구갑,118457,97270,37145.0,40781.0,16931.0,985.0,92.0,176.0,75.0,96185,1085,21187
경기 부천시원미구갑,116776,92957,28239.0,42516.0,19342.0,988.0,96.0,151.0,94.0,91426,1531,23819
경기 광명시갑,116994,95020,30068.0,44831.0,17697.0,865.0,95.0,153.0,84.0,93793,1227,21974
경기 광명시을,115908,96367,35138.0,42570.0,16031.0,1208.0,96.0,137.0,117.0,95297,1070,19541
경기 평택시갑,112009,89333,27470.0,33378.0,25211.0,1481.0,173.0,162.0,157.0,88032,1301,22676
경기 평택시을,125297,100120,31407.0,36796.0,27389.0,2352.0,222.0,219.0,224.0,98609,1511,25177
경기 동두천시,52179,41432,15813.0,13745.0,10545.0,394.0,80.0,64.0,106.0,40747,685,10747
경기 양주군,68986,55270,19097.0,18021.0,16300.0,412.0,136.0,114.0,199.0,54279,991,13716
경기 안산시갑,184990,148683,47570.0,64104.0,32727.0,1738.0,140.0,212.0,114.0,146605,2078,36307
경기 안산시을,167178,132545,36185.0,58720.0,33547.0,1523.0,172.0,198.0,138.0,130483,2062,34633
경기 과천시,48596,40281,18875.0,15252.0,5011.0,631.0,27.0,74.0,37.0,39907,374,8315
경기 의왕시,75088,62077,22793.0,25085.0,12346.0,896.0,71.0,107.0,55.0,61353,724,13011
경기 군포시,171630,143582,54980.0,59056.0,25556.0,1983.0,143.0,204.0,123.0,142045,1537,28048
경기 시흥시,138271,112936,35284.0,46106.0,28181.0,1121.0,154.0,214.0,158.0,111218,1718,25335
경기 구리시,111015,88751,30956.0,34294.0,21193.0,688.0,113.0,119.0,132.0,87495,1256,22264
경기 남양주시,188185,148419,49081.0,52762.0,42334.0,1102.0,307.0,277.0,331.0,146194,2225,39766
경기 여주군,70436,55399,16079.0,14867.0,22272.0,443.0,199.0,125.0,243.0,54228,1171,15037
경기 오산시,50110,40348,11475.0,14679.0,13068.0,426.0,64.0,93.0,68.0,39873,475,9762
경기 화성군,125610,98179,27271.0,33867.0,33253.0,1175.0,252.0,239.0,313.0,96370,1809,27431
